species,temp,rate
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Dermacentor andersoni,12.5,0.011185682
Hyalomma aegytium,10,0.013315579
Hyalomma aegytium,15,0.013315579
Hyalomma aegytium,15,0.019120459
Hyalomma aegytium,15,0.033222591
Hyalomma aegytium,15,0.033222591
Hyalomma aegytium,15,0.042553191
Hyalomma aegytium,15,0.047169811
Hyalomma aegytium,15,0.068965517
Hyalomma aegytium,15,0.068965517
Hyalomma aegytium,15,0.087719298
Hyalomma aegytium,20,0.018181818
Hyalomma aegytium,20,0.021551724
Hyalomma aegytium,20,0.022075055
Hyalomma aegytium,20,0.098039216
Hyalomma aegytium,20,0.142857143
Hyalomma aegytium,25,0.023640662
Hyalomma aegytium,25,0.031152648
Hyalomma aegytium,25,0.036900369
Hyalomma aegytium,25,0.049751244
Hyalomma aegytium,30,0.039370079
Hyalomma aegytium,30,0.054054054
Hyalomma aegytium,30,0.087719298
Hyalomma aegytium,30,0.196078431
Hyalomma aegytium,30,0.058139535
Hyalomma aegytium,30,0.058139535
Hyalomma aegytium,30,0.058139535
Hyalomma aegytium,35,0.036900369
Hyalomma aegytium,35,0.051282051
Hyalomma aegytium,35,0.054945055
Hyalomma aegytium,35,0.065359477
Hyalomma aegytium,35,0.070921986
Hyalomma aegytium,35,0.076923077
Hyalomma aegytium,35,0.119047619
Hyalomma aegytium,35,0.14084507
Hyalomma aegytium,40,1
Hyalomma aegytium,40,0.070422535
Hyalomma aegytium,40,0.062111801
Hyalomma aegytium,40,0.062111801
Hyalomma aegytium,40,0.062111801
Hyalomma aegytium,40,0.062111801
Hyalomma aegytium,40,0.036630037
Hyalomma aegytium,20,0.054644809
Hyalomma aegytium,20,0.054644809
Hyalomma aegytium,20,0.038610039
Hyalomma aegytium,20,0.03968254
Hyalomma aegytium,15,0.010857763
Hyalomma aegytium,25,0.023529412
Hyalomma aegytium,25,0.026809651
Hyalomma aegytium,25,0.031055901
Hyalomma aegytium,25,0.034965035
Hyalomma aegytium,25,0.087719298
Hyalomma aegytium,25,0.098039216
Hyalomma aegytium,25,0.108695652
Hyalomma aegytium,25,0.10989011
Hyalomma aegytium,25,0.138888889
Hyalomma aegytium,25,0.526315789
Hyalomma aegytium,25,1
Hyalomma aegytium,30,0.044843049
Hyalomma aegytium,30,0.046948357
Rhipicephalus microplus,28,0.010536052
Rhipicephalus microplus,28,0.010536052
Rhipicephalus microplus,28,0.022314355
Rhipicephalus microplus,28,0.010536052
Rhipicephalus microplus,28,0.022314355
Rhipicephalus microplus,28,0
Rhipicephalus microplus,28,0.035667494
Rhipicephalus microplus,28,0.051082562
Rhipicephalus microplus,28,0.069314718
Rhipicephalus microplus,28,0.069314718
Rhipicephalus microplus,20,0
Rhipicephalus microplus,20,0
Rhipicephalus microplus,20,0.010536052
Rhipicephalus microplus,20,0
Rhipicephalus microplus,20,0.022314355
Rhipicephalus microplus,20,0.035667494
Rhipicephalus microplus,20,0.051082562
Rhipicephalus microplus,20,0.069314718
Rhipicephalus microplus,20,0.051082562
Rhipicephalus microplus,20,0.12039728
Rhipicephalus microplus,20,0.010536052
Rhipicephalus microplus,20,0
Rhipicephalus microplus,20,0
Rhipicephalus microplus,20,0.010536052
Rhipicephalus microplus,20,0
Rhipicephalus microplus,20,0.022314355
Rhipicephalus microplus,20,0.035667494
Rhipicephalus microplus,20,0.091629073
Rhipicephalus microplus,20,0.069314718
Rhipicephalus microplus,20,0.12039728
Rhipicephalus simus,27,0.011560694
Haemaphysalis spinulosa,27,0.005376344
Amblyomma triguttatum,20,0.002676244
Amblyomma triguttatum,20,0.005352488
Amblyomma triguttatum,20,0.009707944
Amblyomma triguttatum,25,0.003883177
Amblyomma triguttatum,25,0.005157345
Amblyomma triguttatum,25,0.010763155
Amblyomma triguttatum,30,0.007796931
Amblyomma triguttatum,30,0.008251752
Amblyomma triguttatum,30,0.008463336
Amblyomma triguttatum,35,0.009902103
Amblyomma triguttatum,35,0.009902103
Amblyomma triguttatum,35,0.015234004
Amblyomma triguttatum,40,0.015971133
Amblyomma triguttatum,40,0.01737211
Amblyomma triguttatum,40,0.019042505
Amblyomma triguttatum,20,0.002041671
Amblyomma triguttatum,20,0.003600765
Amblyomma triguttatum,20,0.004830294
Amblyomma triguttatum,25,0.003000637
Amblyomma triguttatum,25,0.004041675
Amblyomma triguttatum,25,0.006829036
Amblyomma triguttatum,30,0.004500956
Amblyomma triguttatum,30,0.006601402
Amblyomma triguttatum,30,0.006188814
Amblyomma triguttatum,35,0.005501168
Amblyomma triguttatum,35,0.006388453
Amblyomma triguttatum,35,0.009430574
Amblyomma triguttatum,40,0.011649532
Amblyomma triguttatum,40,0.014145861
Amblyomma triguttatum,40,0.015234004
