species,temp,rate
Haemaphysalis longicornis (field),16.35,17.04467354
Haemaphysalis longicornis (field),19,31.87632509
Haemaphysalis longicornis (field),22.7,86.92134831
Haemaphysalis longicornis (field),21.3,61.82786885
Rhipicephalus annulatus,16,30.80898876
Rhipicephalus annulatus,16,26.02591793
Rhipicephalus annulatus,16,25.85215606
Rhipicephalus annulatus,25,111.3888889
Rhipicephalus annulatus,25,106.7455621
Rhipicephalus annulatus,25,104.4623656
Rhipicephalus annulatus,35,170.8181818
Rhipicephalus annulatus,35,173.2989691
Rhipicephalus annulatus,35,167.8070175
Dermacentor andersoni,12.5,55.18447281
Dermacentor andersoni,15,85.9940549
Dermacentor andersoni,20,417.6138019
Dermacentor andersoni,25,385.4112024
Dermacentor andersoni,30,344.5038278
Dermacentor andersoni,10,0.7
Dermacentor andersoni,25,7
Dermacentor andersoni,25,9.1
Dermacentor andersoni,10,13.84857493
Dermacentor andersoni,25,124.4390045
Dermacentor andersoni,25,192.0498922
Dermacentor andersoni,12.5,1.147053681
Dermacentor andersoni,12.5,1.028151775
Dermacentor andersoni,12.5,4.581220493
Dermacentor andersoni,12.5,14.23325756
Dermacentor andersoni,12.5,40.70641721
Dermacentor andersoni,12.5,58.4717608
Dermacentor andersoni,12.5,61.72407764
Dermacentor andersoni,12.5,24.89945795
Dermacentor andersoni,12.5,14.40811331
Dermacentor andersoni,12.5,8.987585242
Dermacentor andersoni,12.5,65.36107711
Dermacentor andersoni,12.5,71.5859416
Dermacentor andersoni,12.5,82.74173807
Dermacentor andersoni,12.5,92.42874628
Dermacentor andersoni,12.5,99.07326456
Dermacentor andersoni,12.5,75.85242175
Dermacentor andersoni,12.5,38.50323483
Dermacentor andersoni,12.5,83.96572827
Dermacentor andersoni,12.5,34.30669697
Dermacentor andersoni,12.5,1.014163315
Dermacentor andersoni,12.5,6.11995104
Dermacentor andersoni,12.5,49.16943522
Dermacentor andersoni,12.5,80.95820948
Dermacentor andersoni,12.5,51.93215597
Dermacentor andersoni,12.5,24.20003497
Dermacentor andersoni,12.5,61.4093373
Dermacentor andersoni,12.5,114.1808008
Dermacentor andersoni,12.5,155.0970449
Dermacentor andersoni,12.5,152.2294107
Dermacentor andersoni,12.5,85.11977618
Dermacentor andersoni,12.5,57.91222242
Dermacentor andersoni,12.5,0.027976919
Dermacentor andersoni,15,0.709914321
Dermacentor andersoni,15,5.210701172
Dermacentor andersoni,15,0.629480678
Dermacentor andersoni,15,7.483825844
Dermacentor andersoni,15,0.230809582
Dermacentor andersoni,15,23.15090051
Dermacentor andersoni,15,34.55149502
Dermacentor andersoni,15,40.95121525
Dermacentor andersoni,15,44.23850323
Dermacentor andersoni,15,21.57719881
Dermacentor andersoni,15,36.43993705
Dermacentor andersoni,15,52.24689631
Dermacentor andersoni,15,57.42262633
Dermacentor andersoni,15,68.6483651
Dermacentor andersoni,15,67.24951915
Dermacentor andersoni,15,65.88564434
Dermacentor andersoni,15,67.77408638
Dermacentor andersoni,15,63.82234656
Dermacentor andersoni,15,22.03182375
Dermacentor andersoni,15,8.637873754
Dermacentor andersoni,15,74.03392201
Dermacentor andersoni,15,77.2512677
Dermacentor andersoni,15,79.87410386
Dermacentor andersoni,15,86.37873754
Dermacentor andersoni,15,88.89666026
Dermacentor andersoni,15,94.73684211
Dermacentor andersoni,15,94.03741913
Dermacentor andersoni,15,86.86833362
Dermacentor andersoni,15,79.73421927
Dermacentor andersoni,15,73.78912397
Dermacentor andersoni,15,65.22119252
Dermacentor andersoni,15,97.11488022
Dermacentor andersoni,15,96.97499563
Dermacentor andersoni,15,106.1374366
Dermacentor andersoni,15,108.6903305
Dermacentor andersoni,15,107.9559364
Dermacentor andersoni,15,106.0325232
